component_name,phrase,reps,phrase_component_tickets,phrase_len,reps_total,phrase_tickets,iam_users_count,tickets_per_component,importance,precision,recall,f1,row
string,string,int64,int64,int32,int64,int64,int64,int64,double,double,double,double,int32
dataproc,data proc,55,37,2,89,44,33,121,0.6179775280898876,0.8409090909090909,0.30578512396694213,0.4484848484848485,2
dataproc,dataproc,129,64,1,185,71,38,121,0.6972972972972973,0.9014084507042254,0.5289256198347108,0.6666666666666666,1
dataproc,proc кластер,5,4,2,6,5,5,121,0.8333333333333334,0.8,0.03305785123966942,0.06349206349206349,18
dns,cloud dns,48,34,2,97,44,38,101,0.4948453608247423,0.7727272727272727,0.33663366336633666,0.46896551724137925,1
english,facing,6,6,1,15,8,7,453,0.4,0.75,0.013245033112582781,0.026030368763557486,11
english,have not,6,5,2,14,5,5,453,0.42857142857142855,1,0.011037527593818985,0.021834061135371178,14
english,find any,6,6,2,20,8,8,453,0.3,0.75,0.013245033112582781,0.026030368763557486,10
english,team are,5,5,2,13,6,6,453,0.38461538461538464,0.8333333333333334,0.011037527593818985,0.021786492374727674,18
english,guys,8,8,1,21,10,8,453,0.38095238095238093,0.8,0.017660044150110375,0.03455723542116631,3
english,use for,7,7,2,16,8,8,453,0.4375,0.875,0.01545253863134658,0.030368763557483736,6
english,and our,5,5,2,14,6,6,453,0.35714285714285715,0.8333333333333334,0.011037527593818985,0.021786492374727674,17
english,payment account,6,5,2,16,7,7,453,0.375,0.7142857142857143,0.011037527593818985,0.02173913043478261,20
english,india,11,5,1,25,7,7,453,0.44,0.7142857142857143,0.011037527593818985,0.02173913043478261,19
english,hello can,10,10,2,27,13,12,453,0.37037037037037035,0.7692307692307693,0.02207505518763797,0.042918454935622324,1
english,few days,5,5,2,17,6,6,453,0.29411764705882354,0.8333333333333334,0.011037527593818985,0.021786492374727674,16
english,invoice for,8,8,2,20,11,9,453,0.4,0.7272727272727273,0.017660044150110375,0.034482758620689655,4
english,activate the,7,7,2,18,9,9,453,0.3888888888888889,0.7777777777777778,0.01545253863134658,0.030303030303030307,7
english,although,8,7,1,19,9,9,453,0.42105263157894735,0.7777777777777778,0.01545253863134658,0.030303030303030307,8
english,hello cannot,5,5,2,12,5,5,453,0.4166666666666667,1,0.011037527593818985,0.021834061135371178,13
english,dont,7,7,1,21,10,10,453,0.3333333333333333,0.7,0.01545253863134658,0.030237580993520523,9
english,saying,8,5,1,17,5,5,453,0.47058823529411764,1,0.011037527593818985,0.021834061135371178,12
english,the invoice,9,8,2,24,10,10,453,0.375,0.8,0.017660044150110375,0.03455723542116631,2
english,bank card,10,7,2,21,7,7,453,0.47619047619047616,1,0.01545253863134658,0.03043478260869565,5
english,services but,5,5,2,12,5,5,453,0.4166666666666667,1,0.011037527593818985,0.021834061135371178,15
hystax,hlragent,32,6,1,43,7,7,47,0.7441860465116279,0.8571428571428571,0.1276595744680851,0.2222222222222222,12
hystax,hystax,79,35,1,149,46,31,47,0.5302013422818792,0.7608695652173914,0.7446808510638298,0.7526881720430109,1
hystax,acura добрый,7,7,2,10,7,6,47,0.7,1,0.14893617021276595,0.25925925925925924,6
iam,operations iam,12,12,2,19,15,15,1216,0.631578947,0.8,0.009868421052631578,0.01949634443541836,11
iam,получение iam,18,14,2,24,18,17,1216,0.75,0.7777777777777778,0.011513157894736841,0.022690437601296597,8
iam,resource manager api,15,8,3,30,11,11,1216,0.5,0.7272727272727273,0.006578947368421052,0.013039934800325998,20
iam,https iam,23,19,2,52,25,24,1216,0.4423076923076923,0.76,0.015625,0.030620467365028204,5
iam,net iam,22,19,2,47,24,23,1216,0.46808510638297873,0.7916666666666666,0.015625,0.03064516129032258,4
iam.delete,облако как удалить,26,26,3,47,36,36,1361,0.5531914893617021,0.7222222222222222,0.019103600293901544,0.03722261989978525,12
iam.delete,облако удаляться,27,23,2,47,31,31,1361,0.574468085,0.7419354838709677,0.01689933872152829,0.033045977011494254,15
iam.delete,облако просить удалить,26,26,3,40,34,34,1361,0.65,0.7647058823529411,0.019103600293901544,0.03727598566308244,11
iam.delete,удаление облако,194,182,2,328,248,221,1361,0.5914634146341463,0.7338709677419355,0.1337252020573108,0.22622747047855815,2
iam.delete,удалить каталог,163,129,2,205,144,131,1361,0.7951219512195122,0.8958333333333334,0.09478324761204997,0.17142857142857146,3
iam.delete,удалить облако,333,267,2,535,367,340,1361,0.6224299065420561,0.7275204359673024,0.1961792799412197,0.3090277777777778,1
iam.delete,удалить фолдер,29,21,2,32,24,12,1361,0.90625,0.875,0.015429831006612785,0.03032490974729242,16
iam.delete,день удалить пожалуйста,24,24,3,38,33,28,1361,0.631578947,0.7272727272727273,0.01763409257898604,0.03443328550932568,14
iam.delete,лишний облако,31,21,2,37,25,25,1361,0.8378378378378378,0.84,0.015429831006612785,0.0303030303030303,17
iam.delete,удаление каталог,94,89,2,109,101,89,1361,0.8623853211009175,0.8811881188118812,0.0653930933137399,0.12175102599179206,4
iam.delete,удалить неиспользуемый,23,21,2,38,27,26,1361,0.6052631578947368,0.7777777777777778,0.015429831006612785,0.030259365994236315,19
iam.federation,idp,22,16,1,29,18,18,154,0.7586206896551724,0.8888888888888888,0.1038961038961039,0.18604651162790697,4
iam.federation,настроить федерация,12,12,2,18,16,16,154,0.6666666666666666,0.75,0.07792207792207792,0.1411764705882353,14
iam.federation,init federation,12,9,2,30,11,11,154,0.4,0.8181818181818182,0.05844155844155844,0.1090909090909091,15
iam.federation,federations,45,35,1,76,48,43,154,0.5921052631578947,0.7291666666666666,0.22727272727272727,0.3465346534653465,1
iam.federation,настройка федерация,12,12,2,14,14,13,154,0.8571428571428571,0.8571428571428571,0.07792207792207792,0.14285714285714285,13
iam.federation,sso,23,15,1,37,18,17,154,0.6216216216216216,0.8333333333333334,0.09740259740259741,0.17441860465116282,5
iam.federation,federation authentication not,7,7,3,19,9,9,154,0.3684210526315789,0.7777777777777778,0.045454545454545456,0.08588957055214724,19
iam.federation,saml,43,25,1,62,29,25,154,0.6935483870967742,0.8620689655172413,0.16233766233766234,0.273224044,2
iam.federation,gsuite,17,13,1,25,18,16,154,0.68,0.7222222222222222,0.08441558441558442,0.15116279069767444,12
iam.federation,error federation authentication,7,7,3,18,9,9,154,0.3888888888888889,0.7777777777777778,0.045454545454545456,0.08588957055214724,20
iam.federation,adfs,30,18,1,45,25,19,154,0.6666666666666666,0.72,0.11688311688311688,0.20111731843575417,3
iam.federation,работать федерация,8,7,2,12,8,7,154,0.6666666666666666,0.875,0.045454545454545456,0.08641975308641976,16
iam.federation,федерация добрый,14,14,2,16,16,15,154,0.875,0.875,0.09090909090909091,0.16470588235294117,6
interconnect,cloud interconnect,13,7,2,26,10,10,102,0.5,0.7,0.06862745098039216,0.12500000000000003,2
interconnect,interconnect добрый,8,8,2,14,11,10,102,0.5714285714285714,0.7272727272727273,0.0784313725490196,0.14159292035398233,1
iot,iot,104,49,1,170,62,42,68,0.611764706,0.7903225806451613,0.7205882352941176,0.7538461538461538,1
iot,mqtt,63,32,1,95,41,32,68,0.6631578947368421,0.7804878048780488,0.47058823529411764,0.5871559633027523,2
iot,реестр устройство,15,13,2,17,13,11,68,0.8823529411764706,1,0.19117647058823528,0.32098765432098764,4
iot,qos,9,6,1,10,6,5,68,0.9,1,0.08823529411764706,0.1621621621621622,8
k8s,kubectl,257,173,1,389,184,128,2177,0.6606683804627249,0.9402173913043478,0.07946715663757464,0.1465480728504871,6
